engine,template,size,mode,query_id,repetition,time,status
fuseki,star,03,P,001,1,0.14620322291739285,200
fuseki,star,03,P,002,1,300.0323375721928,200
fuseki,star,03,P,003,1,16.4749175098259,200
fuseki,star,03,P,004,1,1.5634242200758308,200
fuseki,star,03,P,005,1,38.0086395801045,200
fuseki,star,03,P,006,1,0.0767058851197362,200
fuseki,star,03,P,007,1,7.228861681185663,200
fuseki,star,03,P,008,1,0.3157591628842056,200
fuseki,star,03,P,009,1,37.79511993494816,200
fuseki,star,03,P,010,1,1.3948437219951302,200
fuseki,star,03,P,011,1,0.06348181492649019,200
fuseki,star,03,P,012,1,0.026281854137778282,200
fuseki,star,03,P,013,1,7.93944684905,200
fuseki,star,03,P,014,1,0.026941239135339856,200
fuseki,star,03,P,015,1,0.025199081050232053,200
fuseki,star,03,P,016,1,0.4242269138339907,200
fuseki,star,03,P,017,1,0.020449436036869884,200
fuseki,star,03,P,018,1,0.0273167178966105,200
fuseki,star,03,P,019,1,300.050904128002,200
fuseki,star,03,P,020,1,0.027820087037980556,200
fuseki,star,03,P,001,2,0.12001810199581087,200
fuseki,star,03,P,002,2,300.04385752393864,200
fuseki,star,03,P,003,2,15.962669136933982,200
fuseki,star,03,P,004,2,4.531284482916817,200
fuseki,star,03,P,005,2,36.45388350193389,200
fuseki,star,03,P,006,2,0.12558594113215804,200
fuseki,star,03,P,007,2,3.9213133938610554,200
fuseki,star,03,P,008,2,0.31186507316306233,200
fuseki,star,03,P,009,2,36.14518390013836,200
fuseki,star,03,P,010,2,1.5724476668983698,200
fuseki,star,03,P,011,2,0.05121325980871916,200
fuseki,star,03,P,012,2,0.01905851112678647,200
fuseki,star,03,P,013,2,7.12119162385352,200
fuseki,star,03,P,014,2,0.023025488946586847,200
fuseki,star,03,P,015,2,0.021105795167386532,200
fuseki,star,03,P,016,2,0.40287148905918,200
fuseki,star,03,P,017,2,0.01947354502044618,200
fuseki,star,03,P,018,2,0.02632047701627016,200
fuseki,star,03,P,019,2,300.03600059705786,200
fuseki,star,03,P,020,2,0.027969488874077797,200
fuseki,star,03,P,001,3,0.10284737404435873,200
fuseki,star,03,P,002,3,300.0480205719359,200
fuseki,star,03,P,003,3,11.931201548082754,200
fuseki,star,03,P,004,3,0.9879539359826595,200
fuseki,star,03,P,005,3,35.80543411290273,200
fuseki,star,03,P,006,3,0.07073666900396347,200
fuseki,star,03,P,007,3,3.9751029692124575,200
fuseki,star,03,P,008,3,0.3064909849781543,200
fuseki,star,03,P,009,3,35.81712344381958,200
fuseki,star,03,P,010,3,1.3317269759718329,200
fuseki,star,03,P,011,3,0.05103355902247131,200
fuseki,star,03,P,012,3,0.0237165919970721,200
fuseki,star,03,P,013,3,6.861188334878534,200
fuseki,star,03,P,014,3,0.02328837406821549,200
fuseki,star,03,P,015,3,0.02675121882930398,200
fuseki,star,03,P,016,3,0.3975261328741908,200
fuseki,star,03,P,017,3,0.019194066058844328,200
fuseki,star,03,P,018,3,0.023885912029072642,200
fuseki,star,03,P,019,3,300.0377128662076,200
fuseki,star,03,P,020,3,0.022049095015972853,200
fuseki,star,03,P,001,4,0.10495251510292292,200
fuseki,star,03,P,002,4,300.0391012849286,200
fuseki,star,03,P,003,4,12.732313408982009,200
fuseki,star,03,P,004,4,1.10827327799052,200
fuseki,star,03,P,005,4,36.11998070101254,200
fuseki,star,03,P,006,4,0.0745735689997673,200
fuseki,star,03,P,007,4,4.227518843952566,200
fuseki,star,03,P,008,4,0.42511994508095086,200
fuseki,star,03,P,009,4,37.79622473800555,200
fuseki,star,03,P,010,4,1.3718828598503023,200
fuseki,star,03,P,011,4,0.10701998812146485,200
fuseki,star,03,P,012,4,0.02353981789201498,200
fuseki,star,03,P,013,4,7.088148463983089,200
fuseki,star,03,P,014,4,0.024722701171413064,200
fuseki,star,03,P,015,4,0.02137312013655901,200
fuseki,star,03,P,016,4,0.402719666948542,200
fuseki,star,03,P,017,4,0.023498530965298414,200
fuseki,star,03,P,018,4,0.023992533097043633,200
fuseki,star,03,P,019,4,96.4210137729533,200
fuseki,star,03,P,020,4,0.023223231080919504,200
fuseki,star,03,P,001,5,0.09801807696931064,200
fuseki,star,03,P,002,5,77.92904284596443,200
fuseki,star,03,P,003,5,12.13664038409479,200
fuseki,star,03,P,004,5,1.0222254740074277,200
fuseki,star,03,P,005,5,35.107315414818004,200
fuseki,star,03,P,006,5,0.06811332609504461,200
fuseki,star,03,P,007,5,3.9550153110176325,200
fuseki,star,03,P,008,5,0.3034674800001085,200
fuseki,star,03,P,009,5,36.185046003898606,200
fuseki,star,03,P,010,5,1.3759794260840863,200
fuseki,star,03,P,011,5,0.05419886391609907,200
fuseki,star,03,P,012,5,0.02315502194687724,200
fuseki,star,03,P,013,5,6.776071701897308,200
fuseki,star,03,P,014,5,0.018549961037933826,200
fuseki,star,03,P,015,5,0.02438022498972714,200
fuseki,star,03,P,016,5,0.39778014505282044,200
fuseki,star,03,P,017,5,0.0225310439709574,200
fuseki,star,03,P,018,5,0.023131808964535594,200
fuseki,star,03,P,019,5,76.58667084295303,200
fuseki,star,03,P,020,5,0.02267894404940307,200
