engine,template,size,mode,query_id,repetition,time,status
fuseki,union,03,R,001,1,1.9518849670421332,200
fuseki,union,03,R,002,1,300.03809398110025,200
fuseki,union,03,R,003,1,172.67853730218485,200
fuseki,union,03,R,004,1,104.26553568779491,200
fuseki,union,03,R,005,1,67.32350127585232,200
fuseki,union,03,R,006,1,6.2497515950817615,200
fuseki,union,03,R,007,1,70.12398343300447,200
fuseki,union,03,R,008,1,0.8463025761302561,200
fuseki,union,03,R,009,1,58.75037384987809,200
fuseki,union,03,R,010,1,6.433036444941536,200
fuseki,union,03,R,011,1,0.32014183700084686,200
fuseki,union,03,R,012,1,0.020383361028507352,200
fuseki,union,03,R,013,1,16.234250142006204,200
fuseki,union,03,R,014,1,0.0642065538559109,200
fuseki,union,03,R,015,1,0.020609980216249824,200
fuseki,union,03,R,016,1,1.1488311290740967,200
fuseki,union,03,R,017,1,0.02210474107414484,200
fuseki,union,03,R,018,1,0.02335848705843091,200
fuseki,union,03,R,019,1,300.0304685700685,200
fuseki,union,03,R,020,1,0.05706155812367797,200
fuseki,union,03,R,001,2,0.15403817198239267,200
fuseki,union,03,R,002,2,300.0285485070199,200
fuseki,union,03,R,003,2,43.843131743138656,200
fuseki,union,03,R,004,2,1.9880882429424673,200
fuseki,union,03,R,005,2,41.85872884001583,200
fuseki,union,03,R,006,2,0.09954871889203787,200
fuseki,union,03,R,007,2,4.480364942923188,200
fuseki,union,03,R,008,2,0.40683116391301155,200
fuseki,union,03,R,009,2,45.00326892710291,200
fuseki,union,03,R,010,2,1.614757748087868,200
fuseki,union,03,R,011,2,0.05621058214455843,200
fuseki,union,03,R,012,2,0.026828546077013016,200
fuseki,union,03,R,013,2,13.37344202818349,200
fuseki,union,03,R,014,2,0.019135948037728667,200
fuseki,union,03,R,015,2,0.025389560032635927,200
fuseki,union,03,R,016,2,0.5213123559951782,200
fuseki,union,03,R,017,2,0.019512347877025604,200
fuseki,union,03,R,018,2,0.16960251796990633,200
fuseki,union,03,R,019,2,300.0767949600704,200
fuseki,union,03,R,020,2,0.019566350150853395,200
fuseki,union,03,R,001,3,0.10401603998616338,200
fuseki,union,03,R,002,3,300.0316919721663,200
fuseki,union,03,R,003,3,25.253993480000645,200
fuseki,union,03,R,004,3,1.4441963469143957,200
fuseki,union,03,R,005,3,41.20868218597025,200
fuseki,union,03,R,006,3,0.09431862691417336,200
fuseki,union,03,R,007,3,4.518628724850714,200
fuseki,union,03,R,008,3,0.3574279239401221,200
fuseki,union,03,R,009,3,43.08539555897005,200
fuseki,union,03,R,010,3,1.5755318880546838,200
fuseki,union,03,R,011,3,0.05095038400031626,200
fuseki,union,03,R,012,3,0.01836695591919124,200
fuseki,union,03,R,013,3,12.686958458041772,200
fuseki,union,03,R,014,3,0.022590106818825006,200
fuseki,union,03,R,015,3,0.020244960905984044,200
fuseki,union,03,R,016,3,0.4904563839081675,200
fuseki,union,03,R,017,3,0.020385325886309147,200
fuseki,union,03,R,018,3,0.017674880102276802,200
fuseki,union,03,R,019,3,300.04730551014654,200
fuseki,union,03,R,020,3,0.02251383289694786,200
fuseki,union,03,R,001,4,0.11126527306623757,200
fuseki,union,03,R,002,4,300.0209852049593,200
fuseki,union,03,R,003,4,22.389841422904283,200
fuseki,union,03,R,004,4,1.2857401291839778,200
fuseki,union,03,R,005,4,41.616615758044645,200
fuseki,union,03,R,006,4,0.09661271702498198,200
fuseki,union,03,R,007,4,4.494773461017758,200
fuseki,union,03,R,008,4,0.35577463218942285,200
fuseki,union,03,R,009,4,42.80143207591027,200
fuseki,union,03,R,010,4,1.4746254419442266,200
fuseki,union,03,R,011,4,0.05268241395242512,200
fuseki,union,03,R,012,4,0.016997561091557145,200
fuseki,union,03,R,013,4,12.509602897102013,200
fuseki,union,03,R,014,4,0.017384421080350876,200
fuseki,union,03,R,015,4,0.020459705963730812,200
fuseki,union,03,R,016,4,0.47801701398566365,200
fuseki,union,03,R,017,4,0.017643942032009363,200
fuseki,union,03,R,018,4,0.017416752874851227,200
fuseki,union,03,R,019,4,300.0323041109368,200
fuseki,union,03,R,020,4,0.0200547119602561,200
fuseki,union,03,R,001,5,0.10310123488306999,200
fuseki,union,03,R,002,5,300.0597694411408,200
fuseki,union,03,R,003,5,22.956800061045215,200
fuseki,union,03,R,004,5,1.3083710130304098,200
fuseki,union,03,R,005,5,41.22558512701653,200
fuseki,union,03,R,006,5,0.09212558902800083,200
fuseki,union,03,R,007,5,4.534347174922004,200
fuseki,union,03,R,008,5,0.3439133148640394,200
fuseki,union,03,R,009,5,44.491304953815416,200
fuseki,union,03,R,010,5,1.553177632857114,200
fuseki,union,03,R,011,5,0.0946654318831861,200
fuseki,union,03,R,012,5,0.02316312794573605,200
fuseki,union,03,R,013,5,12.596813315991312,200
fuseki,union,03,R,014,5,0.02410341310314834,200
fuseki,union,03,R,015,5,0.020982683170586824,200
fuseki,union,03,R,016,5,0.4965326108504087,200
fuseki,union,03,R,017,5,0.019013446988537908,200
fuseki,union,03,R,018,5,0.018590969033539295,200
fuseki,union,03,R,019,5,300.0316746660974,200
fuseki,union,03,R,020,5,0.018386874115094543,200
