engine,template,size,mode,query_id,repetition,time,status
fuseki,union,06,B,001,1,0.024812432006001472,200
fuseki,union,06,B,002,1,0.024076001020148396,200
fuseki,union,06,B,003,1,0.01887384383007884,200
fuseki,union,06,B,004,1,0.17294559092260897,200
fuseki,union,06,B,005,1,0.021965928841382265,200
fuseki,union,06,B,006,1,0.07897836505435407,200
fuseki,union,06,B,007,1,0.019225525902584195,200
fuseki,union,06,B,008,1,0.02229595184326172,200
fuseki,union,06,B,009,1,0.9012616821564734,200
fuseki,union,06,B,010,1,0.022812457056716084,200
fuseki,union,06,B,011,1,0.09142736298963428,200
fuseki,union,06,B,012,1,0.030827905051410198,200
fuseki,union,06,B,013,1,0.06004293612204492,200
fuseki,union,06,B,014,1,0.0677482788451016,200
fuseki,union,06,B,015,1,0.02466571400873363,200
fuseki,union,06,B,016,1,0.12915936787612736,200
fuseki,union,06,B,017,1,0.12327226693741977,200
fuseki,union,06,B,018,1,6.741232951171696,200
fuseki,union,06,B,019,1,3.4547871160320938,200
fuseki,union,06,B,020,1,0.03959541395306587,200
fuseki,union,06,B,001,2,0.036621650913730264,200
fuseki,union,06,B,002,2,0.02238880703225732,200
fuseki,union,06,B,003,2,0.02947084396146238,200
fuseki,union,06,B,004,2,0.2401903010904789,200
fuseki,union,06,B,005,2,0.028836256125941873,200
fuseki,union,06,B,006,2,0.09664503089152277,200
fuseki,union,06,B,007,2,0.02425463916733861,200
fuseki,union,06,B,008,2,0.02469190419651568,200
fuseki,union,06,B,009,2,0.9704760990571231,200
fuseki,union,06,B,010,2,0.02268623886629939,200
fuseki,union,06,B,011,2,0.11052725184708834,200
fuseki,union,06,B,012,2,0.024432805133983493,200
fuseki,union,06,B,013,2,0.07619142602197826,200
fuseki,union,06,B,014,2,0.09209495200775564,200
fuseki,union,06,B,015,2,0.018563568126410246,200
fuseki,union,06,B,016,2,0.15932090603746474,200
fuseki,union,06,B,017,2,0.13653060188516974,200
fuseki,union,06,B,018,2,6.7167087940033525,200
fuseki,union,06,B,019,2,3.134182380978018,200
fuseki,union,06,B,020,2,0.029118489008396864,200
fuseki,union,06,B,001,3,0.021521340124309063,200
fuseki,union,06,B,002,3,0.01793911913409829,200
fuseki,union,06,B,003,3,0.018200561869889498,200
fuseki,union,06,B,004,3,0.15843274001963437,200
fuseki,union,06,B,005,3,0.020871503045782447,200
fuseki,union,06,B,006,3,0.07163361296989024,200
fuseki,union,06,B,007,3,0.017408127197995782,200
fuseki,union,06,B,008,3,0.018479076912626624,200
fuseki,union,06,B,009,3,0.7502768500708044,200
fuseki,union,06,B,010,3,0.019343538908287883,200
fuseki,union,06,B,011,3,0.0891450138296932,200
fuseki,union,06,B,012,3,0.02347875409759581,200
fuseki,union,06,B,013,3,0.06085094180889428,200
fuseki,union,06,B,014,3,0.06613264000043273,200
fuseki,union,06,B,015,3,0.01903387508355081,200
fuseki,union,06,B,016,3,0.13709050812758505,200
fuseki,union,06,B,017,3,0.11561820120550692,200
fuseki,union,06,B,018,3,6.769932099850848,200
fuseki,union,06,B,019,3,3.0848606689833105,200
fuseki,union,06,B,020,3,0.02784389303997159,200
fuseki,union,06,B,001,4,0.019481190014630556,200
fuseki,union,06,B,002,4,0.01816922309808433,200
fuseki,union,06,B,003,4,0.01789456489495933,200
fuseki,union,06,B,004,4,0.155537785962224,200
fuseki,union,06,B,005,4,0.02095612301491201,200
fuseki,union,06,B,006,4,0.072007539216429,200
fuseki,union,06,B,007,4,0.018333632964640856,200
fuseki,union,06,B,008,4,0.01770477695390582,200
fuseki,union,06,B,009,4,0.7453335199970752,200
fuseki,union,06,B,010,4,0.0210510129109025,200
fuseki,union,06,B,011,4,0.09054621984250844,200
fuseki,union,06,B,012,4,0.022648106096312404,200
fuseki,union,06,B,013,4,0.06113283312879503,200
fuseki,union,06,B,014,4,0.06467694300226867,200
fuseki,union,06,B,015,4,0.019137419993057847,200
fuseki,union,06,B,016,4,0.1330004578921944,200
fuseki,union,06,B,017,4,0.1139747689012438,200
fuseki,union,06,B,018,4,6.658970288001001,200
fuseki,union,06,B,019,4,3.0831564019899815,200
fuseki,union,06,B,020,4,0.02759285015054047,200
fuseki,union,06,B,001,5,0.01929205283522606,200
fuseki,union,06,B,002,5,0.01771249109879136,200
fuseki,union,06,B,003,5,0.016403180081397295,200
fuseki,union,06,B,004,5,0.15921780094504356,200
fuseki,union,06,B,005,5,0.02010415494441986,200
fuseki,union,06,B,006,5,0.07261932385154068,200
fuseki,union,06,B,007,5,0.01792654488235712,200
fuseki,union,06,B,008,5,0.017234237864613533,200
fuseki,union,06,B,009,5,0.742275157943368,200
fuseki,union,06,B,010,5,0.020054452121257782,200
fuseki,union,06,B,011,5,0.08788759098388255,200
fuseki,union,06,B,012,5,0.024167212890461087,200
fuseki,union,06,B,013,5,0.05807443102821708,200
fuseki,union,06,B,014,5,0.06567491590976715,200
fuseki,union,06,B,015,5,0.01705824607051909,200
fuseki,union,06,B,016,5,0.12496090400964022,200
fuseki,union,06,B,017,5,0.11383901187218726,200
fuseki,union,06,B,018,5,6.708054221002385,200
fuseki,union,06,B,019,5,3.035140225896612,200
fuseki,union,06,B,020,5,0.028328817803412676,200
