engine,template,size,mode,query_id,repetition,time,status
fuseki,union,06,P,001,1,0.0389951909892261,200
fuseki,union,06,P,002,1,0.03013852401636541,200
fuseki,union,06,P,003,1,0.02572188782505691,200
fuseki,union,06,P,004,1,0.45872403704561293,200
fuseki,union,06,P,005,1,0.039019566029310226,200
fuseki,union,06,P,006,1,0.13754342286847532,200
fuseki,union,06,P,007,1,0.02639977796934545,200
fuseki,union,06,P,008,1,0.031180912163108587,200
fuseki,union,06,P,009,1,1.7937458800151944,200
fuseki,union,06,P,010,1,0.05640920787118375,200
fuseki,union,06,P,011,1,0.22595185693353415,200
fuseki,union,06,P,012,1,0.03609597799368203,200
fuseki,union,06,P,013,1,0.16443943697959185,200
fuseki,union,06,P,014,1,0.157562738051638,200
fuseki,union,06,P,015,1,0.024731107987463474,200
fuseki,union,06,P,016,1,0.2871285229921341,200
fuseki,union,06,P,017,1,0.2457026147749275,200
fuseki,union,06,P,018,1,16.107460230821744,200
fuseki,union,06,P,019,1,7.960578177822754,200
fuseki,union,06,P,020,1,0.06154995085671544,200
fuseki,union,06,P,001,2,0.03962047002278268,200
fuseki,union,06,P,002,2,0.03535458003170788,200
fuseki,union,06,P,003,2,0.03269532904960215,200
fuseki,union,06,P,004,2,0.5231890499126166,200
fuseki,union,06,P,005,2,0.04063621792010963,200
fuseki,union,06,P,006,2,0.19350203988142312,200
fuseki,union,06,P,007,2,0.03447170299477875,200
fuseki,union,06,P,008,2,0.029147202847525477,200
fuseki,union,06,P,009,2,2.2166407820768654,200
fuseki,union,06,P,010,2,0.06919010216370225,200
fuseki,union,06,P,011,2,0.33626459492370486,200
fuseki,union,06,P,012,2,0.045470061944797635,200
fuseki,union,06,P,013,2,0.17078767903149128,200
fuseki,union,06,P,014,2,0.21125273406505585,200
fuseki,union,06,P,015,2,0.02862060908228159,200
fuseki,union,06,P,016,2,0.3379134559072554,200
fuseki,union,06,P,017,2,0.38666209601797163,200
fuseki,union,06,P,018,2,16.358973263995722,200
fuseki,union,06,P,019,2,7.595496574882418,200
fuseki,union,06,P,020,2,0.05984539398923516,200
fuseki,union,06,P,001,3,0.03632102394476533,200
fuseki,union,06,P,002,3,0.03132295003160834,200
fuseki,union,06,P,003,3,0.028460395988076925,200
fuseki,union,06,P,004,3,0.44105798401869833,200
fuseki,union,06,P,005,3,0.033363390946760774,200
fuseki,union,06,P,006,3,0.13940712087787688,200
fuseki,union,06,P,007,3,0.02433671406470239,200
fuseki,union,06,P,008,3,0.029409968992695212,200
fuseki,union,06,P,009,3,1.753150027943775,200
fuseki,union,06,P,010,3,0.04660973302088678,200
fuseki,union,06,P,011,3,0.20696613215841353,200
fuseki,union,06,P,012,3,0.03933013207279146,200
fuseki,union,06,P,013,3,0.12023111712187529,200
fuseki,union,06,P,014,3,0.15463663404807448,200
fuseki,union,06,P,015,3,0.02737341495230794,200
fuseki,union,06,P,016,3,0.2676533760968596,200
fuseki,union,06,P,017,3,0.2356502921320498,200
fuseki,union,06,P,018,3,16.060444263974205,200
fuseki,union,06,P,019,3,7.591364256106317,200
fuseki,union,06,P,020,3,0.05867383209988475,200
fuseki,union,06,P,001,4,0.04046376305632293,200
fuseki,union,06,P,002,4,0.03244890505447984,200
fuseki,union,06,P,003,4,0.0289275289978832,200
fuseki,union,06,P,004,4,0.4605865618214011,200
fuseki,union,06,P,005,4,0.03753414307720959,200
fuseki,union,06,P,006,4,0.1439031669870019,200
fuseki,union,06,P,007,4,0.025750963017344475,200
fuseki,union,06,P,008,4,0.024298291886225343,200
fuseki,union,06,P,009,4,1.753347662044689,200
fuseki,union,06,P,010,4,0.04699501907452941,200
fuseki,union,06,P,011,4,0.21274015097878873,200
fuseki,union,06,P,012,4,0.03650201507844031,200
fuseki,union,06,P,013,4,0.1290845382027328,200
fuseki,union,06,P,014,4,0.16131047205999494,200
fuseki,union,06,P,015,4,0.024178014136850834,200
fuseki,union,06,P,016,4,0.28621453791856766,200
fuseki,union,06,P,017,4,0.2563830341678113,200
fuseki,union,06,P,018,4,15.96277580410242,200
fuseki,union,06,P,019,4,7.598657591966912,200
fuseki,union,06,P,020,4,0.06038233684375882,200
fuseki,union,06,P,001,5,0.030705573968589306,200
fuseki,union,06,P,002,5,0.024751397082582116,200
fuseki,union,06,P,003,5,0.024572388967499137,200
fuseki,union,06,P,004,5,0.46267581614665687,200
fuseki,union,06,P,005,5,0.031856856774538755,200
fuseki,union,06,P,006,5,0.14688044600188732,200
fuseki,union,06,P,007,5,0.027934134006500244,200
fuseki,union,06,P,008,5,0.02505234396085143,200
fuseki,union,06,P,009,5,1.8556972690857947,200
fuseki,union,06,P,010,5,0.04775013495236635,200
fuseki,union,06,P,011,5,0.21386578516103327,200
fuseki,union,06,P,012,5,0.035780012141913176,200
fuseki,union,06,P,013,5,0.13049644185230136,200
fuseki,union,06,P,014,5,0.1575249859597534,200
fuseki,union,06,P,015,5,0.02768527390435338,200
fuseki,union,06,P,016,5,0.28277460602112114,200
fuseki,union,06,P,017,5,0.25279746600426733,200
fuseki,union,06,P,018,5,16.48855971195735,200
fuseki,union,06,P,019,5,8.220892715035006,200
fuseki,union,06,P,020,5,0.06529619288630784,200
