engine,template,size,mode,query_id,repetition,time,status
virtuoso,union,06,B,001,1,0.012440094025805593,200
virtuoso,union,06,B,002,1,0.012689333176240325,200
virtuoso,union,06,B,003,1,0.01257600006647408,200
virtuoso,union,06,B,004,1,0.09664616803638637,200
virtuoso,union,06,B,005,1,0.016392569057643414,200
virtuoso,union,06,B,006,1,0.029497095849364996,200
virtuoso,union,06,B,007,1,0.012350043980404735,200
virtuoso,union,06,B,008,1,0.012701977975666523,200
virtuoso,union,06,B,009,1,0.014470282942056656,200
virtuoso,union,06,B,010,1,0.016726449131965637,200
virtuoso,union,06,B,011,1,0.018771003931760788,200
virtuoso,union,06,B,012,1,0.012192566879093647,200
virtuoso,union,06,B,013,1,0.03900194400921464,200
virtuoso,union,06,B,014,1,0.012175354175269604,200
virtuoso,union,06,B,015,1,0.012519062962383032,200
virtuoso,union,06,B,016,1,0.01368139497935772,200
virtuoso,union,06,B,017,1,0.012401421088725328,200
virtuoso,union,06,B,018,1,0.04691176302731037,200
virtuoso,union,06,B,019,1,0.9954664481338114,200
virtuoso,union,06,B,020,1,0.03069471614435315,200
virtuoso,union,06,B,001,2,0.012482795165851712,200
virtuoso,union,06,B,002,2,0.012270915089175105,200
virtuoso,union,06,B,003,2,0.012763764010742307,200
virtuoso,union,06,B,004,2,0.05535881617106497,200
virtuoso,union,06,B,005,2,0.016187563072890043,200
virtuoso,union,06,B,006,2,0.029248438077047467,200
virtuoso,union,06,B,007,2,0.012427990790456533,200
virtuoso,union,06,B,008,2,0.012342239962890744,200
virtuoso,union,06,B,009,2,0.014829309890046716,200
virtuoso,union,06,B,010,2,0.016673097852617502,200
virtuoso,union,06,B,011,2,0.01855796412564814,200
virtuoso,union,06,B,012,2,0.012414727127179503,200
virtuoso,union,06,B,013,2,0.039061807096004486,200
virtuoso,union,06,B,014,2,0.011966460850089788,200
virtuoso,union,06,B,015,2,0.012205681996420026,200
virtuoso,union,06,B,016,2,0.013786363881081343,200
virtuoso,union,06,B,017,2,0.01243121805600822,200
virtuoso,union,06,B,018,2,0.045958616072312,200
virtuoso,union,06,B,019,2,1.3760347641073167,200
virtuoso,union,06,B,020,2,0.03373683406971395,200
virtuoso,union,06,B,001,3,0.012493183836340904,200
virtuoso,union,06,B,002,3,0.012540654046460986,200
virtuoso,union,06,B,003,3,0.012488194974139333,200
virtuoso,union,06,B,004,3,0.05557643808424473,200
virtuoso,union,06,B,005,3,0.016367081087082624,200
virtuoso,union,06,B,006,3,0.029459015000611544,200
virtuoso,union,06,B,007,3,0.012595728039741516,200
virtuoso,union,06,B,008,3,0.013080192031338811,200
virtuoso,union,06,B,009,3,0.014802068937569857,200
virtuoso,union,06,B,010,3,0.016885409131646156,200
virtuoso,union,06,B,011,3,0.01864204299636185,200
virtuoso,union,06,B,012,3,0.01236265804618597,200
virtuoso,union,06,B,013,3,0.039229474030435085,200
virtuoso,union,06,B,014,3,0.01220283703878522,200
virtuoso,union,06,B,015,3,0.012350355042144656,200
virtuoso,union,06,B,016,3,0.01357314083725214,200
virtuoso,union,06,B,017,3,0.011994213098660111,200
virtuoso,union,06,B,018,3,0.04657635185867548,200
virtuoso,union,06,B,019,3,1.014296683948487,200
virtuoso,union,06,B,020,3,0.03395776101388037,200
virtuoso,union,06,B,001,4,0.01249735220335424,200
virtuoso,union,06,B,002,4,0.012433783151209354,200
virtuoso,union,06,B,003,4,0.012462626909837127,200
virtuoso,union,06,B,004,4,0.054005827056244016,200
virtuoso,union,06,B,005,4,0.016238148091360927,200
virtuoso,union,06,B,006,4,0.029435861855745316,200
virtuoso,union,06,B,007,4,0.012852243147790432,200
virtuoso,union,06,B,008,4,0.012684936169534922,200
virtuoso,union,06,B,009,4,0.014128249138593674,200
virtuoso,union,06,B,010,4,0.016737510915845633,200
virtuoso,union,06,B,011,4,0.018401298904791474,200
virtuoso,union,06,B,012,4,0.012127935886383057,200
virtuoso,union,06,B,013,4,0.04370231181383133,200
virtuoso,union,06,B,014,4,0.0124203369487077,200
virtuoso,union,06,B,015,4,0.01247298694215715,200
virtuoso,union,06,B,016,4,0.013454959960654378,200
virtuoso,union,06,B,017,4,0.01217947294935584,200
virtuoso,union,06,B,018,4,0.046113509917631745,200
virtuoso,union,06,B,019,4,1.4227021131664515,200
virtuoso,union,06,B,020,4,0.038194061955437064,200
virtuoso,union,06,B,001,5,0.012526027159765363,200
virtuoso,union,06,B,002,5,0.012737346114590764,200
virtuoso,union,06,B,003,5,0.012681819964200258,200
virtuoso,union,06,B,004,5,0.054310561856254935,200
virtuoso,union,06,B,005,5,0.01604049582965672,200
virtuoso,union,06,B,006,5,0.029685043031349778,200
virtuoso,union,06,B,007,5,0.012356868013739586,200
virtuoso,union,06,B,008,5,0.012795996852219105,200
virtuoso,union,06,B,009,5,0.014658920001238585,200
virtuoso,union,06,B,010,5,0.0168311670422554,200
virtuoso,union,06,B,011,5,0.01849873294122517,200
virtuoso,union,06,B,012,5,0.012242543045431376,200
virtuoso,union,06,B,013,5,0.038890626979991794,200
virtuoso,union,06,B,014,5,0.012496169889345765,200
virtuoso,union,06,B,015,5,0.012632116908207536,200
virtuoso,union,06,B,016,5,0.013832692056894302,200
virtuoso,union,06,B,017,5,0.012378699146211147,200
virtuoso,union,06,B,018,5,0.045866345055401325,200
virtuoso,union,06,B,019,5,0.9883298880886286,200
virtuoso,union,06,B,020,5,0.031496881041675806,200
