engine,template,size,mode,query_id,repetition,time,status
virtuoso,union,06,R,001,1,0.016748306108638644,200
virtuoso,union,06,R,002,1,0.013382095843553543,200
virtuoso,union,06,R,003,1,0.013592221075668931,200
virtuoso,union,06,R,004,1,0.22967957286164165,200
virtuoso,union,06,R,005,1,0.02134538907557726,200
virtuoso,union,06,R,006,1,0.042371354065835476,200
virtuoso,union,06,R,007,1,0.012954679084941745,200
virtuoso,union,06,R,008,1,0.013231742195785046,200
virtuoso,union,06,R,009,1,0.019519863883033395,200
virtuoso,union,06,R,010,1,0.021679678931832314,200
virtuoso,union,06,R,011,1,0.045691308099776506,200
virtuoso,union,06,R,012,1,0.0145316650159657,200
virtuoso,union,06,R,013,1,0.031764134066179395,200
virtuoso,union,06,R,014,1,0.012928308919072151,200
virtuoso,union,06,R,015,1,0.012658539926633239,200
virtuoso,union,06,R,016,1,0.023308080853894353,200
virtuoso,union,06,R,017,1,0.017123603960499167,200
virtuoso,union,06,R,018,1,0.08077478199265897,200
virtuoso,union,06,R,019,1,1.339180806884542,200
virtuoso,union,06,R,020,1,0.012432975927367806,200
virtuoso,union,06,R,001,2,0.015020597027614713,200
virtuoso,union,06,R,002,2,0.01312328688800335,200
virtuoso,union,06,R,003,2,0.012660684064030647,200
virtuoso,union,06,R,004,2,0.2344819048885256,200
virtuoso,union,06,R,005,2,0.0200718950945884,200
virtuoso,union,06,R,006,2,0.03980956110171974,200
virtuoso,union,06,R,007,2,0.012675232021138072,200
virtuoso,union,06,R,008,2,0.012890859041363001,200
virtuoso,union,06,R,009,2,0.01892225700430572,200
virtuoso,union,06,R,010,2,0.02091980492696166,200
virtuoso,union,06,R,011,2,0.04424170288257301,200
virtuoso,union,06,R,012,2,0.014169641071930528,200
virtuoso,union,06,R,013,2,0.032404260942712426,200
virtuoso,union,06,R,014,2,0.01252604997716844,200
virtuoso,union,06,R,015,2,0.012253856984898448,200
virtuoso,union,06,R,016,2,0.021994292037561536,200
virtuoso,union,06,R,017,2,0.016033236868679523,200
virtuoso,union,06,R,018,2,0.08172390516847372,200
virtuoso,union,06,R,019,2,0.8621654361486435,200
virtuoso,union,06,R,020,2,0.012792422901839018,200
virtuoso,union,06,R,001,3,0.015956210903823376,200
virtuoso,union,06,R,002,3,0.012889196164906025,200
virtuoso,union,06,R,003,3,0.01262009795755148,200
virtuoso,union,06,R,004,3,0.21086000301875174,200
virtuoso,union,06,R,005,3,0.022269090870395303,200
virtuoso,union,06,R,006,3,0.04328073002398014,200
virtuoso,union,06,R,007,3,0.012802242068573833,200
virtuoso,union,06,R,008,3,0.012784629128873348,200
virtuoso,union,06,R,009,3,0.02026500995270908,200
virtuoso,union,06,R,010,3,0.02132114302366972,200
virtuoso,union,06,R,011,3,0.04644631198607385,200
virtuoso,union,06,R,012,3,0.014028014149516821,200
virtuoso,union,06,R,013,3,0.03355130483396351,200
virtuoso,union,06,R,014,3,0.012658449821174145,200
virtuoso,union,06,R,015,3,0.012503028148785233,200
virtuoso,union,06,R,016,3,0.02158385794609785,200
virtuoso,union,06,R,017,3,0.016103619942441583,200
virtuoso,union,06,R,018,3,0.08197654108516872,200
virtuoso,union,06,R,019,3,1.345135066891089,200
virtuoso,union,06,R,020,3,0.012906537856906652,200
virtuoso,union,06,R,001,4,0.015956983901560307,200
virtuoso,union,06,R,002,4,0.01314147119410336,200
virtuoso,union,06,R,003,4,0.01275735697709024,200
virtuoso,union,06,R,004,4,0.233014710014686,200
virtuoso,union,06,R,005,4,0.02078179595991969,200
virtuoso,union,06,R,006,4,0.043097123969346285,200
virtuoso,union,06,R,007,4,0.012613817118108273,200
virtuoso,union,06,R,008,4,0.013219028012827039,200
virtuoso,union,06,R,009,4,0.021320051047950983,200
virtuoso,union,06,R,010,4,0.021434127120301127,200
virtuoso,union,06,R,011,4,0.04601450799964368,200
virtuoso,union,06,R,012,4,0.014071916928514838,200
virtuoso,union,06,R,013,4,0.032820808002725244,200
virtuoso,union,06,R,014,4,0.012700348859652877,200
virtuoso,union,06,R,015,4,0.012596172979101539,200
virtuoso,union,06,R,016,4,0.021884965943172574,200
virtuoso,union,06,R,017,4,0.01682613301090896,200
virtuoso,union,06,R,018,4,0.08600450004450977,200
virtuoso,union,06,R,019,4,0.8705386528745294,200
virtuoso,union,06,R,020,4,0.01203846000134945,200
virtuoso,union,06,R,001,5,0.01574164698831737,200
virtuoso,union,06,R,002,5,0.012695270124822855,200
virtuoso,union,06,R,003,5,0.01270591001957655,200
virtuoso,union,06,R,004,5,0.21881390106864274,200
virtuoso,union,06,R,005,5,0.021206476958468556,200
virtuoso,union,06,R,006,5,0.04183626500889659,200
virtuoso,union,06,R,007,5,0.012727811932563782,200
virtuoso,union,06,R,008,5,0.013399758841842413,200
virtuoso,union,06,R,009,5,0.019617128185927868,200
virtuoso,union,06,R,010,5,0.021373002091422677,200
virtuoso,union,06,R,011,5,0.044135082978755236,200
virtuoso,union,06,R,012,5,0.013879695208743215,200
virtuoso,union,06,R,013,5,0.031176215037703514,200
virtuoso,union,06,R,014,5,0.012715988792479038,200
virtuoso,union,06,R,015,5,0.012860911898314953,200
virtuoso,union,06,R,016,5,0.02114057308062911,200
virtuoso,union,06,R,017,5,0.016997034894302487,200
virtuoso,union,06,R,018,5,0.08142942003905773,200
virtuoso,union,06,R,019,5,1.372224868973717,200
virtuoso,union,06,R,020,5,0.012246622936800122,200
